namespace_prefix	namespace_name
mmp.cat	MarCat
mmp.db	MarDB
mmp.fun	MarFun
mmp.ref	MarRef
mmrrc	MMRRC
mo	MGED Ontology
mobidb	MobiDB
mod	Protein Modification Ontology
modeldb	ModelDB
modeldb.concept	ModelDB concept
moid	Metadata Management and distribution system for Multiple GNSS Networks
molbase	Molbase
molmedb	MolMeDB
morpheus	Morpheus model repository
mp	Mammalian Phenotype Ontology
mpid	Microbial Protein Interaction Database
ms	Mass Spectrometry Controlled Vocabulary
multicellds.cell_line	MultiCellDS Digital Cell Line
multicellds.collection	MultiCellDS collection
multicellds.snapshot	MultiCellDS Digital snapshot
myco.lepra	MycoBrowser leprae
myco.marinum	MycoBrowser marinum
myco.smeg	MycoBrowser smegmatis
myco.tuber	MycoBrowser tuberculosis
mycobank	MycoBank
mzspec	Universal Spectrum Identifier
nando	Nanbyo Disease Ontology
nanostar	NanostarDB
napdi	Natural Product-Drug Interaction Research Data Repository
napp	NAPP
narcis	NARCIS
nasc	NASC code
nbn	National Bibliography Number
nbrc	NITE Biological Research Center Catalogue
ncbidrs	NCBI Data Repository Service
ncbiprotein	NCBI Protein
ncim	NCIm
ncit	NCIt
ndc	National Drug Code
nemo	Neuroscience Multi-Omic BRAIN Initiative Data
neurolex	NeuroLex
neuromorpho	NeuroMorpho
neurondb	NeuronDB
neurovault.collection	NeuroVault Collection
neurovault.image	NeuroVault Image
nextdb	NEXTDB
nextprot	nextProt
ngl	NASA GeneLab
niaest	NIAEST
nlfff	NLFFF Database
nmdc	National Microbiome Data Collaborative
nmr	Nuclear Magnetic Resonance Controlled Vocabulary
noncodev3	NONCODE v3
noncodev4.gene	NONCODE v4 Gene
noncodev4.rna	NONCODE v4 Transcript
norine	NORINE
nuclearbd	NucleaRDB
nucleotide	Nucleotide
obcs	 Ontology of Biological and Clinical Statistics
obv	Austrian Library Network
occ	OpenCitations Corpus
oci	OCI
ocid	Ontology Concept Identifiers
oclc	Online Computer Library Center (OCLC) WorldCat
odam	Open Data for Access and Mining
odam.explorer	ODAM Data explorer
