namespace_prefix	namespace_name	repository	repository_url	similarity	token_overlap	review_reason
dg.va03	VA Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.596	commons	no exact source/metadata evidence
phenolexplorer	Phenol-Explorer	exposome-explorer	https://github.com/biobricks-ai/exposome-explorer	0.596	explorer	no exact source/metadata evidence
seed.reaction	SEED Reactions	reaction-properties	https://github.com/biobricks-ai/reaction-properties	0.596	reaction	no exact source/metadata evidence
vmhreaction	VMH reaction	skin-reaction	https://github.com/biobricks-ai/skin-reaction	0.595	reaction	no exact source/metadata evidence
chembl.target	ChEMBL target	chembl-downloads-chembl-interface-doc	https://github.com/biobricks-ai/chembl-downloads-chembl-interface-doc	0.594	chembl	no exact source/metadata evidence
metabolights	MetaboLights	zenodo-metabolights-compounds	https://github.com/biobricks-ai/zenodo-metabolights-compounds	0.593	metabolights	no exact source/metadata evidence
ordb	Olfactory Receptor Database	pyrfume-olfactory-data	https://github.com/biobricks-ai/pyrfume-olfactory-data	0.593	olfactory	no exact source/metadata evidence
genprop	Genome Properties	reaction-properties	https://github.com/biobricks-ai/reaction-properties	0.591	properties	no exact source/metadata evidence
tissuelist	Tissue List	nist-pfas-suspect-list	https://github.com/biobricks-ai/nist-pfas-suspect-list	0.591	list	no exact source/metadata evidence
efo	Experimental Factor Ontology	matbench-experimental-bandgap	https://github.com/biobricks-ai/matbench-experimental-bandgap	0.590	experimental	no exact source/metadata evidence
mirbase	miRBase Sequence	mirbase	https://github.com/biobricks-ai/mirbase	0.590	mirbase	no exact source/metadata evidence
chembl.compound	ChEMBL compound	chembl-downloads-chembl-interface-doc	https://github.com/biobricks-ai/chembl-downloads-chembl-interface-doc	0.588	chembl	no exact source/metadata evidence
col	Catalogue of Life	tdc-half-life	https://github.com/biobricks-ai/tdc-half-life	0.588	life	no exact source/metadata evidence
pharmgkb.disease	PharmGKB Disease	pharmgkb-pharmacogenomics	https://github.com/biobricks-ai/pharmgkb-pharmacogenomics	0.586	pharmgkb	no exact source/metadata evidence
genprop	Genome Properties	rdkit-properties	https://github.com/biobricks-ai/rdkit-properties	0.585	properties	no exact source/metadata evidence
mi	Molecular Interactions Ontology	biogrid-biological-interactions	https://github.com/biobricks-ai/biogrid-biological-interactions	0.585	interactions	no exact source/metadata evidence
identifiers.namespace	Identifiers.org namespace	identifiers-org-resolutions-rdf	https://github.com/biobricks-ai/identifiers-org-resolutions-rdf	0.583	org	no exact source/metadata evidence
raid	Research Activity Identifier	nih-predicting-the-activity-of-unidenti	https://github.com/biobricks-ai/nih-predicting-the-activity-of-unidenti	0.583	activity	no exact source/metadata evidence
smpdb	Small Molecule Pathway Database	pubs-moltoxpred-small-molecule-toxi	https://github.com/biobricks-ai/pubs-moltoxpred-small-molecule-toxi	0.583	molecule,small	no exact source/metadata evidence
peptideatlas.dataset	PeptideAtlas Dataset	catalog-pesticides-dataset-catalog-dat	https://github.com/biobricks-ai/catalog-pesticides-dataset-catalog-dat	0.582	dataset	no exact source/metadata evidence
gold.meta	GOLD metadata	susdat-metadata	https://github.com/biobricks-ai/susdat-metadata	0.579	metadata	no exact source/metadata evidence
ice.chem	Integrated Chemical Environment - Chemical data	chemharmony	https://github.com/biobricks-ai/chemharmony	0.578	integrated	no exact source/metadata evidence
insdc	Nucleotide Sequence Database	dbsnp	https://github.com/biobricks-ai/dbsnp	0.578	nucleotide	no exact source/metadata evidence
dg.4825	ACCOuNT Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.577	commons	no exact source/metadata evidence
dg.7c5b	Environmental Data Commons	iogp-environmental	https://github.com/biobricks-ai/iogp-environmental	0.577	environmental	no exact source/metadata evidence
